TableName,IndexName,avg_fragmentation_in_percent,page_count
StationaryClass,IX_StationaryClass_StartDate,50,2
Orders,IX_Orders_UserID,50,2
Orders,IX_Orders_OrderDate,50,2
Convention,Convention_pk,50,2
StationaryMeeting,StationaryMeeting_pk,50,2
StationaryMeetingDetails,IX_StationaryMeetingDetails_Participant,50,2
OfflineVideoClass,IX_OfflineVideoClass_StartDate,50,2
OfflineVideoClass,IX_OfflineVideoClass_Deadline,50,2
OnlineLiveMeetingDetails,IX_OnlineLiveMeetingDetails_Participant,50,2
CourseParticipants,CourseDetails_pk,50,2
CourseParticipants,IX_CourseParticipants_CourseID,50,2
OnlineLiveClass,IX_OnlineLiveClass_StartDate,50,2
Users,IX_Users_DateOfBirth,33.33333333333333,3
UserAddressDetails,IX_UserAddressDetails_LocationID,33.33333333333333,3
RoomDetails,RoomDetails_pk,33.33333333333333,3
OnlineLiveMeetingDetails,OnlineLiveMeetingDetails_pk,33.33333333333333,3
OfflineVideo,OfflineVideo_pk,33.33333333333333,3
StationaryMeetingDetails,StationaryMeetingDetails_pk,33.33333333333333,3
OnlineLiveMeeting,OnlineLiveMeeting_pk,33.33333333333333,3
ServiceUserDetails,ServiceUserDetails_pk,33.33333333333333,3
ServiceUserDetails,IX_ServiceUserDetails_DateOfRegistration,33.33333333333333,3
Payments,Payment_pk,30,10
SubjectDetails,SubjectDetails_pk,29.629629629629626,27
Services,Services_pk,25,12
ClassMeeting,IX_ClassMeeting_SubjectID,25,4
ClassMeeting,IX_ClassMeeting_TeacherID,25,4
Payments,IX_Payments_OrderID,25,4
StationaryClass,StationaryClass_pk,25,4
OrderDetails,OrderDetails_pk,25,4
OfflineVideoDetails,IX_OfflineVideoDetails_Participant,25,4
OfflineVideoClass,OfflineVideoClass_pk,25,4
UserAddressDetails,IX_UserAddressDetails_PostalCode,25,4
Webinars,Webinars_pk,22.22222222222222,9
ClassMeeting,ClassMeeting_pk,22.22222222222222,18
Orders,Orders_pk,20,5
OfflineVideoDetails,OfflineVideoDetails_pk,20,5
OnlineLiveClass,OnlineLiveClass_pk,20,5
UserContact,EmailUnique_uk,14.285714285714285,7
UserContact,IX_UserContact_Email,14.285714285714285,7
AsyncClassDetails,IX_AsyncClassDetails_StudentID,14.285714285714285,7
ClassMeetingService,ClassMeetingService_pk,12.5,8
WebinarDetails,WebinarDetails_pk,12.5,8
Users,Users_pk,12.5,8
AsyncClassDetails,AsyncClassDetails_pk,11.11111111111111,9
UserAddressDetails,UsersAddressDetails_pk,10,10
UserContact,UsersContacts_pk,9.090909090909092,11
SyncClassDetails,IX_SyncClassDetails_StudentID,3.0303030303030303,33
SyncClassDetails,SyncClassDetails_pk,0,43
OnlineLiveMeeting,IX_OnlineLiveMeeting_Module,0,1
OnlineLiveMeeting,IX_OnlineLiveMeeting_Teacher,0,1
OnlineLiveMeeting,IX_OnlineLiveMeeting_Date,0,1
OfflineVideo,IX_OfflineVideo_Module,0,1
OfflineVideo,IX_OfflineVideo_Teacher,0,1
StationaryMeeting,IX_StationaryMeeting_Module,0,1
StationaryMeeting,IX_StationaryMeeting_Teacher,0,1
StationaryMeeting,IX_StationaryMeeting_Date,0,1
Webinars,IX_Webinars_TeacherID,0,1
Webinars,IX_Webinars_TranslatorID,0,1
Webinars,IX_Webinars_LanguageID,0,1
InternshipDetails,InternshipDetails_pk,0,1
InternshipDetails,IX_InternshipDetails_StudentID,0,1
Internship,Internship_pk,0,1
Internship,IX_Internship_StudiesID,0,1
Internship,IX_Internship_StartDate,0,1
Grades,Grades_pk,0,1
Studies,Studies_pk,0,1
Studies,IX_Studies_EnrollmentDeadline,0,1
Subject,Subject_pk,0,1
Subject,IX_Subject_SubjectCoordinatorID,0,1
UserTypePermissionsHierarchy,UserTypePermissionsHierarchy_pk,0,1
UserTypePermissionsHierarchy,IX_UserTypePermissionsHierarchy_DirectSupervisor,0,1
Convention,IX_Convention_SemesterID,0,1
Convention,IX_Convention_StartDate,0,1
RoomScheduleOnDate,RoomSchedule_pk,0,0
WebinarService,WebinarService_pk,0,1
Courses,CourseID,0,1
Courses,CourseID,0,1
Courses,IX_Courses_ServiceID,0,1
Courses,IX_Courses_CourseCoordinatorID,0,1
Courses,IX_Courses_CourseDate,0,1
Courses,IX_Courses_CourseName,0,1
Modules,Modules_pk,0,1
Modules,IX_Modules_CourseID,0,1
Modules,IX_Modules_ModuleCoordinatorID,0,1
Modules,IX_Modules_LanguageID,0,1
Modules,IX_Modules_TranslatorID,0,1
ConventionService,ConventionService_pk,0,1
CourseService,CourseService_pk,0,1
StudiesService,StudiesService_pk,0,1
StudiesDetails,StudiesDetails_pk,0,1
StudiesDetails,IX_StudiesDetails_Studies_Semester,0,1
SemesterDetails,SemesterDetails_pk,0,1
SemesterDetails,IX_SemesterDetails_StudiesID,0,1
SemesterDetails,IX_SemesterDetails_StartDate,0,1
SemesterDetails,IX_SemesterDetails_EndDate,0,1
SubjectStudiesAssignment,SubjectStudiesAssignment_pk,0,1
UserType,EmployeeTypes_pk,0,1
Semester,Semester_pk,0,0
Locations,Country_pk,0,1
Degrees,Degrees_pk,0,1
EmployeeDegree,DegreeDetails_pk,0,1
Employees,Employees_pk,0,1
Employees,IX_Employees_DateOfHire,0,1
EmployeesSuperior,EmployeesSuperior_pk,0,1
EmployeesSuperior,IX_EmployeesSuperior_ReportsTo,0,1
Languages,Languages_pk,0,1
Translators,Translators_pk,0,1
TranslatorsLanguages,TranslatorsLanguages_pk,0,1
Rooms,Rooms_pk,0,1
